"ukprn","he_provider","country_of_he_provider","academic_year","value"
"10000163","Health Sciences University","England","2023/24",0
"10000216","All Nations Christian College Limited","England","2023/24",0.1
"10000291","Anglia Ruskin University","England","2023/24",15.7
"10000381","Arts Educational Schools","England","2023/24",53.3
"10000385","The Arts University Bournemouth","England","2023/24",55.3
"10000571","Bath Spa University","England","2023/24",7.2
"10000712","University College Birmingham","England","2023/24",0
"10000824","Bournemouth University","England","2023/24",24.3
"10000886","The University of Brighton","England","2023/24",20.2
"10000894","Bristol Baptist College","England","2023/24",0
"10000911","BCNO Limited","England","2023/24",0
"10000961","Brunel University London","England","2023/24",28
"10000975","Buckinghamshire New University","England","2023/24",18.7
"10001143","Canterbury Christ Church University","England","2023/24",16.9
"10001264","Central School of Ballet","England","2023/24",85.3
"10001282","University of Northumbria at Newcastle","England","2023/24",11.6
"10001386","Chicken Shed Theatre Company","England","2023/24",0.2
"10001444","National Centre for Circus Arts","England","2023/24",4.9
"10001478","City St George's, University of London","England","2023/24",20
"10001546","The College of Integrated Chinese Medicine","England","2023/24",0
"10001726","Coventry University","England","2023/24",55.8
"10001883","De Montfort University","England","2023/24",34.5
"10002011","Bird College","England","2023/24",0.2
"10002313","ESCP Europe Business School","England","2023/24",8.3
"10002681","Glasgow School of Art","Scotland","2023/24",18.2
"10002718","Goldsmiths College","England","2023/24",8.1
"10003212","Hult International Business School Ltd","England","2023/24",56.3
"10003239","ICON College of Technology and Management","England","2023/24",13.3
"10003270","Imperial College of Science, Technology and Medicine","England","2023/24",37.2
"10003284","Inchbald School of Design Limited","England","2023/24",0
"10003324","The Institute of Cancer Research","England","2023/24",0
"10003614","The University of Winchester","England","2023/24",59.4
"10003645","King's College London","England","2023/24",31.7
"10003678","Kingston University","England","2023/24",32.4
"10003758","LAMDA Limited","England","2023/24",27.6
"10003798","Le Cordon Bleu Limited","England","2023/24",41.4
"10003854","Leeds Arts University","England","2023/24",0
"10003861","Leeds Beckett University","England","2023/24",31.8
"10003863","Leeds Trinity University","England","2023/24",10.2
"10003945","The Liverpool Institute for Performing Arts","England","2023/24",0
"10003956","Liverpool Hope University","England","2023/24",5
"10003957","Liverpool John Moores University","England","2023/24",0
"10003958","Liverpool School of Tropical Medicine","England","2023/24",7.6
"10004028","The Place, London Contemporary Dance School (LCDS)","England","2023/24",0
"10004035","The Film Education Training Trust Limited","England","2023/24",0
"10004036","London Film School Limited","England","2023/24",13.8
"10004048","London Metropolitan University","England","2023/24",0
"10004061","Bloomsbury Institute","England","2023/24",0
"10004063","London School of Economics and Political Science","England","2023/24",51.1
"10004075","London School of Theology","England","2023/24",2.3
"10004078","London South Bank University","England","2023/24",19.9
"10004079","London Studio Centre","England","2023/24",0.6
"10004113","Loughborough University","England","2023/24",25.5
"10004180","The Manchester Metropolitan University","England","2023/24",0
"10004320","The Metanoia Institute","England","2023/24",0
"10004351","Middlesex University","England","2023/24",28.1
"10004450","Mountview Academy of Theatre Arts","England","2023/24",277.8
"10004511","The National Film and Television School","England","2023/24",0.1
"10004538","Nazarene Theological College","England","2023/24",8.8
"10004740","Northern College of Acupuncture","England","2023/24",0
"10004775","Norwich University of the Arts","England","2023/24",1.3
"10004797","The Nottingham Trent University","England","2023/24",10.1
"10004930","Oxford Brookes University","England","2023/24",71.7
"10005127","Arts University Plymouth","England","2023/24",12.3
"10005337","Queen Margaret University, Edinburgh","Scotland","2023/24",34.6
"10005343","Queen's University Belfast","Northern Ireland","2023/24",4.8
"10005378","Rambert School","England","2023/24",1
"10005389","Ravensbourne University London","England","2023/24",0.2
"10005451","Arden University","England","2023/24",0.1
"10005470","Richmond, The American International University in London","England","2023/24",183.8
"10005500","Robert Gordon University","Scotland","2023/24",28.7
"10005523","Rose Bruford College of Theatre and Performance","England","2023/24",0
"10005544","Royal Academy of Dance","England","2023/24",13
"10005545","Royal Agricultural University","England","2023/24",0
"10005553","Royal Holloway and Bedford New College","England","2023/24",63.7
"10005561","Royal Conservatoire of Scotland","Scotland","2023/24",3.8
"10005700","SRUC","Scotland","2023/24",24.9
"10005790","Sheffield Hallam University","England","2023/24",43.9
"10006022","Southampton Solent University","England","2023/24",18.3
"10006093","Spurgeon's College","England","2023/24",514.7
"10006299","University of Staffordshire","England","2023/24",18.8
"10006427","University for the Creative Arts","England","2023/24",23.4
"10006566","The University of West London","England","2023/24",25.4
"10006840","The University of Birmingham","England","2023/24",26.5
"10006841","University of Greater Manchester","England","2023/24",20.8
"10006842","The University of Liverpool","England","2023/24",42.4
"10007114","University of the Highlands and Islands","Scotland","2023/24",21.5
"10007137","The University of Chichester","England","2023/24",67.4
"10007138","The University of Northampton","England","2023/24",137.3
"10007139","University of Worcester","England","2023/24",41.3
"10007140","Birmingham City University","England","2023/24",10.7
"10007141","University of Lancashire","England","2023/24",10.4
"10007143","University of Durham","England","2023/24",51.3
"10007144","The University of East London","England","2023/24",0
"10007145","University of Gloucestershire","England","2023/24",41.5
"10007146","The University of Greenwich","England","2023/24",18
"10007147","University of Hertfordshire","England","2023/24",12.7
"10007148","The University of Huddersfield","England","2023/24",0
"10007149","The University of Hull","England","2023/24",41.6
"10007150","The University of Kent","England","2023/24",42.7
"10007151","The University of Lincoln","England","2023/24",28.4
"10007152","University of Bedfordshire","England","2023/24",15
"10007154","University of Nottingham","England","2023/24",7.4
"10007155","The University of Portsmouth","England","2023/24",23
"10007156","The University of Salford","England","2023/24",12.2
"10007157","The University of Sheffield","England","2023/24",16.8
"10007158","The University of Southampton","England","2023/24",45.8
"10007159","The University of Sunderland","England","2023/24",2.1
"10007160","The University of Surrey","England","2023/24",86.7
"10007161","Teesside University","England","2023/24",0
"10007162","University of the Arts, London","England","2023/24",38.9
"10007163","The University of Warwick","England","2023/24",17
"10007164","University of the West of England, Bristol","England","2023/24",18.3
"10007165","The University of Westminster","England","2023/24",7.9
"10007166","The University of Wolverhampton","England","2023/24",0
"10007167","The University of York","England","2023/24",35.2
"10007361","Waverley Abbey College","England","2023/24",48.8
"10007713","York St John University","England","2023/24",20.2
"10007759","Aston University","England","2023/24",17.2
"10007760","Birkbeck College","England","2023/24",0
"10007761","Courtauld Institute of Art","England","2023/24",9.4
"10007762","Glasgow Caledonian University","Scotland","2023/24",0.9
"10007764","Heriot-Watt University","Scotland","2023/24",49.8
"10007767","Keele University","England","2023/24",35.2
"10007768","The University of Lancaster","England","2023/24",28.6
"10007769","London Business School","England","2023/24",40.3
"10007771","London School of Hygiene and Tropical Medicine","England","2023/24",4.4
"10007772","Edinburgh Napier University","Scotland","2023/24",0.2
"10007773","The Open University","England","2023/24",10.3
"10007774","The University of Oxford","England","2023/24",41.4
"10007775","Queen Mary University of London","England","2023/24",26.4
"10007776","Roehampton University","England","2023/24",48.1
"10007777","Royal College of Art","England","2023/24",21.7
"10007778","Royal College of Music","England","2023/24",5
"10007779","The Royal Veterinary College","England","2023/24",35.4
"10007780","SOAS University of London","England","2023/24",2.8
"10007783","The University of Aberdeen","Scotland","2023/24",32.7
"10007784","University College London","England","2023/24",28
"10007785","The University of Bradford","England","2023/24",14
"10007786","The University of Bristol","England","2023/24",37.6
"10007787","The University of Buckingham","England","2023/24",9.3
"10007788","The University of Cambridge","England","2023/24",34.3
"10007789","The University of East Anglia","England","2023/24",46.8
"10007790","The University of Edinburgh","Scotland","2023/24",38.3
"10007791","The University of Essex","England","2023/24",43.7
"10007792","The University of Exeter","England","2023/24",38.7
"10007793","University of South Wales","Wales","2023/24",16.8
"10007794","The University of Glasgow","Scotland","2023/24",26.1
"10007795","The University of Leeds","England","2023/24",32.9
"10007796","The University of Leicester","England","2023/24",30.8
"10007797","University of London (Institutes and activities)","England","2023/24",22.8
"10007798","The University of Manchester","England","2023/24",28.9
"10007799","Newcastle University","England","2023/24",17.9
"10007800","The University of the West of Scotland","Scotland","2023/24",47.5
"10007801","University of Plymouth","England","2023/24",15.9
"10007802","The University of Reading","England","2023/24",41.1
"10007803","The University of St. Andrews","Scotland","2023/24",38.6
"10007804","The University of Stirling","Scotland","2023/24",60.6
"10007805","The University of Strathclyde","Scotland","2023/24",15
"10007806","The University of Sussex","England","2023/24",49
"10007807","Ulster University","Northern Ireland","2023/24",54.7
"10007810","Birmingham Christian College","England","2023/24",0
