"ukprn","he_provider","academic_year","number"
"10000080","Access to Music Limited","2015/16",105
"10000163","Health Sciences University","2024/25",1665
"10000216","All Nations Christian College Limited","2015/16",60
"10000216","All Nations Christian College Limited","2024/25",35
"10000248","Academy of Live and Recorded Arts","2015/16",185
"10000291","Anglia Ruskin University","2015/16",16885
"10000291","Anglia Ruskin University","2024/25",28160
"10000381","Arts Educational Schools","2015/16",240
"10000381","Arts Educational Schools","2024/25",330
"10000385","The Arts University Bournemouth","2015/16",3105
"10000385","The Arts University Bournemouth","2024/25",3575
"10000571","Bath Spa University","2015/16",6715
"10000571","Bath Spa University","2024/25",24285
"10000712","University College Birmingham","2015/16",4295
"10000712","University College Birmingham","2024/25",6245
"10000824","Bournemouth University","2015/16",14970
"10000824","Bournemouth University","2024/25",14325
"10000886","The University of Brighton","2015/16",17495
"10000886","The University of Brighton","2024/25",14625
"10000894","Bristol Baptist College","2015/16",20
"10000894","Bristol Baptist College","2024/25",25
"10000939","West London College","2015/16",205
"10000961","Brunel University London","2015/16",11800
"10000961","Brunel University London","2024/25",11215
"10000975","Buckinghamshire New University","2015/16",7000
"10000975","Buckinghamshire New University","2024/25",17070
"10001143","Canterbury Christ Church University","2015/16",12450
"10001143","Canterbury Christ Church University","2024/25",34655
"10001264","Central School of Ballet","2024/25",125
"10001282","University of Northumbria at Newcastle","2015/16",22560
"10001282","University of Northumbria at Newcastle","2024/25",25645
"10001386","Chicken Shed Theatre Company","2015/16",85
"10001386","Chicken Shed Theatre Company","2024/25",90
"10001419","Christie's Education Limited","2015/16",35
"10001444","National Centre for Circus Arts","2024/25",70
"10001478","City St George's, University of London","2015/16",13810
"10001478","City St George's, University of London","2024/25",23510
"10001546","The College of Integrated Chinese Medicine","2015/16",150
"10001546","The College of Integrated Chinese Medicine","2024/25",110
"10001653","Conservatoire for Dance and Drama","2015/16",1235
"10001726","Coventry University","2015/16",25545
"10001726","Coventry University","2024/25",25020
"10001883","De Montfort University","2015/16",17645
"10001883","De Montfort University","2024/25",19555
"10002113","East End Computing and Business College Limited","2015/16",340
"10002313","ESCP Europe Business School","2024/25",680
"10002681","Glasgow School of Art","2015/16",1965
